heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,100,10,6,0.0003,1000,534,0.3
monotona,100,10,7,0.0001,1000,649,0.3
monotona,100,10,8,0.0002,1000,558,0.3
monotona,100,10,9,0.0004,1000,545,0.3
monotona,100,10,10,0.0002,1000,614,0.3
monotona,100,10,1,0.0003,1000,595,0.4
monotona,100,10,2,0.0005,1000,522,0.4
monotona,100,10,3,0.0001,1000,554,0.4
monotona,100,10,4,0.0004,1000,526,0.4
monotona,100,10,5,0.0002,1000,567,0.4
monotona,100,10,6,0.0004,1000,512,0.4
monotona,100,10,7,0.0001,1000,604,0.4
monotona,100,10,8,0.0003,1000,574,0.4
monotona,100,10,9,0.0003,1000,545,0.4
monotona,100,10,10,0.0002,1000,561,0.4
monotona,100,10,1,0.0002,1000,519,0.5
monotona,100,10,2,0.0006,1000,512,0.5
monotona,100,10,3,0.0002,1000,637,0.5
monotona,100,10,4,0.0002,1000,571,0.5
monotona,100,10,5,0.0002,1000,584,0.5
monotona,100,10,6,0.0002,1000,536,0.5
monotona,100,10,7,0.0004,1000,591,0.5
monotona,100,10,8,0.0002,1000,522,0.5
monotona,100,10,9,0.0003,1000,524,0.5
monotona,100,10,10,0.0003,1000,516,0.5
monotona,100,10,1,0.0003,1000,681,0.6
monotona,100,10,2,0.0006,1000,545,0.6
monotona,100,10,3,0.0003,1000,547,0.6
monotona,100,10,4,0.0002,1000,536,0.6
monotona,100,10,5,0.0004,1000,606,0.6
monotona,100,10,6,0.0003,1000,526,0.6
monotona,100,10,7,0.0002,1000,533,0.6
monotona,100,10,8,0.0004,1000,510,0.6
monotona,100,10,9,0.0003,1000,513,0.6
monotona,100,10,10,0.0002,1000,691,0.6
monotona,100,10,1,0.0006,1000,560,0.7
monotona,100,10,2,0.0005,1000,512,0.7
monotona,100,10,3,0.0005,1000,605,0.7
monotona,100,10,4,0.0003,1000,632,0.7
monotona,100,10,5,0.0003,1000,588,0.7
monotona,100,10,6,0.0002,1000,610,0.7
monotona,100,10,7,0.0004,1000,617,0.7
monotona,100,10,8,0.0004,1000,515,0.7
monotona,100,10,9,0.0003,1000,631,0.7
monotona,100,10,10,0.0006,1000,606,0.7
monotona,100,10,1,0.0003,1000,526,0.8
monotona,100,10,2,0.0004,1000,514,0.8
monotona,100,10,3,0.0004,1000,544,0.8
monotona,100,10,4,0.0003,1000,551,0.8
monotona,100,10,5,0.0003,1000,520,0.8
monotona,100,10,6,0.0002,1000,565,0.8
monotona,100,10,7,0.0004,1000,553,0.8
monotona,100,10,8,0.0002,1000,613,0.8
monotona,100,10,9,0.0002,1000,567,0.8
monotona,100,10,10,0.0006,1000,528,0.8
monotona,100,10,1,0.0003,1000,573,0.9
monotona,100,10,2,0.0002,1000,588,0.9
monotona,100,10,3,0.0003,1000,564,0.9
monotona,100,10,4,0.0005,1000,547,0.9
monotona,100,10,5,0.0007,1000,515,0.9
monotona,100,10,6,0.0009,1000,521,0.9
monotona,100,10,7,0.0005,1000,522,0.9
monotona,100,10,8,0.0005,1000,594,0.9
monotona,100,10,9,0.0007,1000,543,0.9
monotona,100,10,10,0.0006,1000,515,0.9
monotona,89,20,1,0.0002,1000,330,0.1
monotona,89,20,2,0.0001,1000,399,0.1
monotona,89,20,3,0.0004,1000,298,0.1
monotona,89,20,4,0.0001,1000,308,0.1
monotona,89,20,5,0.0002,1000,293,0.1
monotona,89,20,6,0.0001,1000,324,0.1
monotona,89,20,7,0.0001,1000,321,0.1
monotona,89,20,8,0.0001,1000,322,0.1
monotona,89,20,9,0.0000,1000,380,0.1
monotona,89,20,10,0.0001,1000,419,0.1
monotona,89,20,1,0.0001,1000,360,0.2
monotona,89,20,2,0.0002,1000,305,0.2
monotona,89,20,3,0.0002,1000,308,0.2
monotona,89,20,4,0.0007,1000,291,0.2
monotona,89,20,5,0.0001,1000,305,0.2
monotona,89,20,6,0.0002,1000,302,0.2
monotona,89,20,7,0.0001,1000,411,0.2
monotona,89,20,8,0.0002,1000,285,0.2
monotona,89,20,9,0.0002,1000,491,0.2
monotona,89,20,10,0.0001,1000,379,0.2
monotona,89,20,1,0.0001,1000,369,0.3
monotona,89,20,2,0.0003,1000,308,0.3
monotona,89,20,3,0.0002,1000,297,0.3
monotona,89,20,4,0.0003,1000,308,0.3
monotona,89,20,5,0.0004,1000,342,0.3
monotona,89,20,6,0.0006,1000,286,0.3
monotona,89,20,7,0.0008,1000,273,0.3
monotona,89,20,8,0.0003,1000,347,0.3
monotona,89,20,9,0.0001,1000,408,0.3
monotona,89,20,10,0.0001,1000,352,0.3
monotona,89,20,1,0.0002,1000,294,0.4
monotona,89,20,2,0.0002,1000,288,0.4
monotona,89,20,3,0.0004,1000,307,0.4
monotona,89,20,4,0.0002,1000,314,0.4
monotona,89,20,5,0.0001,1000,325,0.4
monotona,89,20,6,0.0005,1000,266,0.4
monotona,89,20,7,0.0001,1000,443,0.4
monotona,89,20,8,0.0003,1000,340,0.4
monotona,89,20,9,0.0002,1000,319,0.4
monotona,89,20,10,0.0005,1000,275,0.4
monotona,89,20,1,0.0002,1000,391,0.5
monotona,89,20,2,0.0007,1000,323,0.5
monotona,89,20,3,0.0005,1000,283,0.5
monotona,89,20,4,0.0002,1000,350,0.5
monotona,89,20,5,0.0005,1000,341,0.5
monotona,89,20,6,0.0003,1000,310,0.5
monotona,89,20,7,0.0004,1000,269,0.5
monotona,89,20,8,0.0003,1000,335,0.5
monotona,89,20,9,0.0002,1000,413,0.5
monotona,89,20,10,0.0003,1000,283,0.5
monotona,89,20,1,0.0002,1000,343,0.6
monotona,89,20,2,0.0003,1000,416,0.6
monotona,89,20,3,0.0003,1000,278,0.6
monotona,89,20,4,0.0003,1000,271,0.6
monotona,89,20,5,0.0005,1000,334,0.6
monotona,89,20,6,0.0003,1000,308,0.6
monotona,89,20,7,0.0003,1000,324,0.6
monotona,89,20,8,0.0006,1000,284,0.6
monotona,89,20,9,0.0003,1000,341,0.6
monotona,89,20,10,0.0002,1000,328,0.6
monotona,89,20,1,0.0002,1000,323,0.7
monotona,89,20,2,0.0006,1000,291,0.7
monotona,89,20,3,0.0002,1000,331,0.7
monotona,89,20,4,0.0002,1000,376,0.7
monotona,89,20,5,0.0003,1000,296,0.7
monotona,89,20,6,0.0005,1000,318,0.7
monotona,89,20,7,0.0002,1000,409,0.7
monotona,89,20,8,0.0009,1000,269,0.7
monotona,89,20,9,0.0011,1000,294,0.7
monotona,89,20,10,0.0003,1000,328,0.7
monotona,89,20,1,0.0005,1000,320,0.8
monotona,89,20,2,0.0002,1000,440,0.8
monotona,89,20,3,0.0003,1000,334,0.8
monotona,89,20,4,0.0005,1000,425,0.8
monotona,89,20,5,0.0003,1000,373,0.8
monotona,89,20,6,0.0004,1000,289,0.8
monotona,89,20,7,0.0007,1000,293,0.8
monotona,89,20,8,0.0002,1000,330,0.8
monotona,89,20,9,0.0002,1000,376,0.8
monotona,89,20,10,0.0004,1000,362,0.8
monotona,89,20,1,0.0003,1000,309,0.9
monotona,89,20,2,0.0003,1000,343,0.9
monotona,89,20,3,0.0007,1000,322,0.9
monotona,89,20,4,0.0005,1000,492,0.9
monotona,89,20,5,0.0002,1000,358,0.9
monotona,89,20,6,0.0004,1000,321,0.9
monotona,89,20,7,0.0008,1000,270,0.9
monotona,89,20,8,0.0004,1000,286,0.9
monotona,89,20,9,0.0008,1000,280,0.9
monotona,89,20,10,0.0004,1000,308,0.9
monotona,400,20,1,0.0005,1000,1223,0.1
monotona,400,20,2,0.0007,1000,1179,0.1
monotona,400,20,3,0.0003,1000,1223,0.1
monotona,400,20,4,0.0002,1000,1429,0.1
monotona,400,20,5,0.0007,1000,1154,0.1
monotona,400,20,6,0.0003,1000,1172,0.1
monotona,400,20,7,0.0005,1000,1169,0.1
monotona,400,20,8,0.0006,1000,1195,0.1
monotona,400,20,9,0.0008,1000,1139,0.1
monotona,400,20,10,0.0005,1000,1132,0.1
monotona,400,20,1,0.0004,1000,1242,0.2
monotona,400,20,2,0.0005,1000,1221,0.2
monotona,400,20,3,0.0009,1000,1085,0.2
monotona,400,20,4,0.0006,1000,1132,0.2
monotona,400,20,5,0.0003,1000,1127,0.2
monotona,400,20,6,0.0006,1000,1134,0.2
monotona,400,20,7,0.0021,1000,1050,0.2
monotona,400,20,8,0.0009,1000,1116,0.2
monotona,400,20,9,0.0003,1000,1370,0.2
monotona,400,20,10,0.0003,1000,1199,0.2
monotona,400,20,1,0.0009,1000,1152,0.3
monotona,400,20,2,0.0004,1000,1294,0.3
monotona,400,20,3,0.0011,1000,1136,0.3
monotona,400,20,4,0.0004,1000,1144,0.3
monotona,400,20,5,0.0004,1000,1294,0.3
monotona,400,20,6,0.0008,1000,1120,0.3
monotona,400,20,7,0.0007,1000,1118,0.3
monotona,400,20,8,0.0014,1000,1064,0.3
monotona,400,20,9,0.0006,1000,1233,0.3
monotona,400,20,10,0.0015,1000,1096,0.3
monotona,400,20,1,0.0009,1000,1102,0.4
monotona,400,20,2,0.0012,1000,1041,0.4
monotona,400,20,3,0.0010,1000,1218,0.4
monotona,400,20,4,0.0010,1000,1206,0.4
monotona,400,20,5,0.0006,1000,1258,0.4
monotona,400,20,6,0.0007,1000,1102,0.4
monotona,400,20,7,0.0010,1000,1114,0.4
monotona,400,20,8,0.0006,1000,1260,0.4
monotona,400,20,9,0.0012,1000,1131,0.4
monotona,400,20,10,0.0009,1000,1149,0.4
monotona,400,20,1,0.0004,1000,1299,0.5
monotona,400,20,2,0.0006,1000,1445,0.5
monotona,400,20,3,0.0007,1000,1345,0.5
monotona,400,20,4,0.0007,1000,1153,0.5
monotona,400,20,5,0.0010,1000,1163,0.5
monotona,400,20,6,0.0005,1000,1195,0.5
monotona,400,20,7,0.0010,1000,1222,0.5
monotona,400,20,8,0.0006,1000,1248,0.5
monotona,400,20,9,0.0008,1000,1172,0.5
monotona,400,20,10,0.0010,1000,1113,0.5
monotona,400,20,1,0.0009,1000,1095,0.6
monotona,400,20,2,0.0010,1000,1092,0.6
monotona,400,20,3,0.0007,1000,1145,0.6
monotona,400,20,4,0.0014,1000,1135,0.6
monotona,400,20,5,0.0011,1000,1131,0.6
monotona,400,20,6,0.0010,1000,1213,0.6
monotona,400,20,7,0.0010,1000,1308,0.6
monotona,400,20,8,0.0011,1000,1114,0.6
