Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
mlsbb,100,10,2,0.0000,1000,5496,NA
mlsbb,100,10,3,0.0000,1000,5496,NA
mlsbb,100,10,4,0.0000,1000,5496,NA
mlsbb,100,10,5,0.0000,1000,5496,NA
mlsbb,100,10,6,0.0000,1000,5496,NA
mlsbb,100,10,7,0.0000,1000,5496,NA
mlsbb,100,10,8,0.0000,1000,5496,NA
mlsbb,100,10,9,0.0000,1000,5496,NA
mlsbb,100,10,10,0.0000,1000,5496,NA
mlsbb,100,10,1,0.0000,1000,5496,NA
mlsbb,100,10,2,0.0000,1000,5496,NA
mlsbb,100,10,3,0.0000,1000,5496,NA
mlsbb,100,10,4,0.0000,1000,5496,NA
mlsbb,100,10,5,0.0000,1000,5496,NA
mlsbb,100,10,6,0.0000,1000,5496,NA
mlsbb,100,10,7,0.0000,1000,5496,NA
mlsbb,100,10,8,0.0000,1000,5496,NA
mlsbb,100,10,9,0.0000,1000,5496,NA
mlsbb,100,10,10,0.0000,1000,5496,NA
mlsbb,100,10,1,0.0000,1000,5496,NA
mlsbb,100,10,2,0.0000,1000,5496,NA
mlsbb,100,10,3,0.0000,1000,5496,NA
mlsbb,100,10,4,0.0000,1000,5496,NA
mlsbb,100,10,5,0.0005,1000,5496,NA
mlsbb,100,10,6,0.0000,1000,5496,NA
mlsbb,100,10,7,0.0000,1000,5496,NA
mlsbb,100,10,8,0.0000,1000,5496,NA
mlsbb,100,10,9,0.0000,1000,5496,NA
mlsbb,100,10,10,0.0000,1000,5496,NA
mlsbb,100,10,1,0.0000,1000,5496,NA
mlsbb,100,10,2,0.0000,1000,5496,NA
mlsbb,100,10,3,0.0000,1000,5496,NA
mlsbb,100,10,4,0.0000,1000,5496,NA
mlsbb,100,10,5,0.0000,1000,5496,NA
mlsbb,100,10,6,0.0000,1000,5496,NA
mlsbb,100,10,7,0.0000,1000,5496,NA
mlsbb,100,10,8,0.0000,1000,5496,NA
mlsbb,100,10,9,0.0000,1000,5496,NA
mlsbb,100,10,10,0.0000,1000,5496,NA
mlsbb,100,10,1,0.0000,1000,5496,NA
mlsbb,100,10,2,0.0000,1000,5496,NA
mlsbb,100,10,3,0.0000,1000,5496,NA
mlsbb,100,10,4,0.0000,1000,5496,NA
mlsbb,100,10,5,0.0000,1000,5496,NA
mlsbb,100,10,6,0.0000,1000,5496,NA
mlsbb,100,10,7,0.0000,1000,5496,NA
mlsbb,100,10,8,0.0000,1000,5496,NA
mlsbb,100,10,9,0.0000,1000,5496,NA
mlsbb,100,10,10,0.0000,1000,5496,NA
mlsbb,100,10,1,0.0000,1000,5496,NA
mlsbb,100,10,2,0.0000,1000,5496,NA
mlsbb,100,10,3,0.0000,1000,5496,NA
mlsbb,100,10,4,0.0000,1000,5496,NA
mlsbb,100,10,5,0.0000,1000,5496,NA
mlsbb,100,10,6,0.0000,1000,5496,NA
mlsbb,100,10,7,0.0000,1000,5496,NA
mlsbb,100,10,8,0.0000,1000,5496,NA
mlsbb,100,10,9,0.0000,1000,5496,NA
mlsbb,100,10,10,0.0000,1000,5496,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0005,1000,4827,NA
